userID,movieRow,score
1,0,60
100,0,50
103,0,50
360,0,50
533,0,50
1,6,60
95,6,50
109,6,50
103,6,50
360,6,50
2,1094,60
95,1094,50
100,1094,50
360,1094,50
3,8,60
451,8,50
1340,8,50
4,1,60
5,2,60
3,10,60
112,10,50
169,10,50
190,10,50
176,10,50
274,10,50
298,10,50
451,10,50
1269,10,50
1340,10,50
5,7,60
122,7,50
2,3,60
95,3,50
360,3,50
2,9,60
95,9,50
112,9,50
360,9,50
1,4,60
95,4,50
4,5,60
4,15,60
1352,15,50
6,14,60
4,11,60
7,12,60
7,16,60
303,16,50
465,16,50
1309,16,50
6,17,60
95,17,50
98,17,50
360,17,50
8,13,60
8,18,60
95,18,50
100,18,50
101,18,50
360,18,50
8,19,60
95,19,50
100,19,50
360,19,50
120,19,50
7,22,60
320,22,50
407,22,50
451,22,50
514,22,50
535,22,50
69,22,50
1287,22,50
1250,22,50
1309,22,50
1336,22,5
1336,22,50
1343,22,50
1336,22,5
1336,22,5
7,26,60
301,26,50
320,26,50
407,26,50
451,26,50
69,26,50
1250,26,50
1336,26,50
1336,26,5
1344,26,5
1336,26,5
1336,26,5
2,23,60
160,23,50
2,21,60
2,24,60
95,24,50
100,24,50
360,24,50
9,31,60
10,25,60
95,25,50
360,25,50
9,32,60
10,28,60
9,33,60
1,27,60
95,27,50
360,27,50
1,29,60
95,29,50
360,29,50
1,30,60
95,30,50
360,30,50
10,34,60
11,35,60
95,35,50
360,35,50
11,37,60
95,37,50
360,37,50
11,1577,60
95,1577,50
360,1577,50
12,36,60
13,41,60
95,41,50
1357,41,50
14,39,60
95,39,50
15,44,60
16,38,60
17,40,60
17,43,60
291,43,50
18,42,60
12,48,60
230,48,50
8,47,60
19,45,60
3,52,60
451,52,50
1284,52,50
1299,52,50
1307,52,50
1340,52,50
5,49,60
20,46,60
13,50,60
95,50,50
959,50,50
14,51,60
175,51,50
144,51,50
21,53,60
1258,53,50
2,55,60
95,55,50
22,56,60
7,58,60
514,58,50
1336,58,50
18,57,60
3,54,60
70,54,50
436,54,50
451,54,50
1267,54,50
1276,54,50
1282,54,50
1292,54,50
1299,54,50
69,54,50
1311,54,50
1325,54,50
