userID,postID,score
1,5b01a4fea22b9d0045147144,60
1,5b01a4ff9f5454005e2edf8e,60
2,5b01a504d50eee0042083907,60
3,5b01a514d50eee00420839e6,60
4,5b01a515d50eee00420839fc,60
5,5b01a5069f5454005e2edfc8,60
3,5b01a510d50eee00420839ae,60
5,5b01a5051b69e60068639b27,60
2,5b01a501a22b9d004514715a,60
2,5b01a5039f5454005e2edfac,60
1,5b01a5009f5454005e2edf9b,60
4,5b01a5169f5454005e2ee00c,60
4,5b01a517a22b9d00451471a7,60
6,5b01a5241b69e60068639ba0,60
4,5b01a5181b69e60068639b78,60
7,5b01a51bd50eee0042083a49,60
7,5b01a51e9f5454005e2ee036,60
6,5b01a523a22b9d00451471d1,60
8,5b01a526d50eee0042083ae2,60
8,5b01a529d50eee0042083b12,60
8,5b01a52d1b69e60068639bbc,60
7,5b01a52f1b69e60068639bc9,60
7,5b01a5321b69e60068639bd9,60
2,5b01a5351b69e60068639be8,60
2,5b01a5349f5454005e2ee083,60
2,5b01a53ed50eee0042083c24,60
9,5b01a545d50eee0042083c92,60
10,5b01a53fa22b9d004514722e,60
9,5b01a5461b69e60068639c31,60
10,5b01a540a22b9d0045147237,60
9,5b01a5471b69e60068639c34,60
1,5b01a5419f5454005e2ee0b4,60
1,5b01a5431b69e60068639c1f,60
1,5b01a544d50eee0042083c7e,60
10,5b01a54ca22b9d004514726e,60
11,5b01a5489f5454005e2ee0cf,60
11,5b01a54aa22b9d004514725c,60
11,5b01a54b1b69e60068639c48,60
12,5b01a55ad50eee0042083da6,60
13,5b01a56cd50eee0042083e94,60
14,5b01a55b1b69e60068639c78,60
15,5b01a577d50eee0042083f35,60
16,5b01a56aa22b9d00451472ee,60
17,5b01a56e1b69e60068639cd4,60
17,5b01a5731b69e60068639cf6,60
18,5b01a56f1b69e60068639cdf,60
12,5b01a588d50eee004208401a,60
8,5b01a5921b69e60068639d67,60
19,5b01a58ad50eee004208403c,60
3,5b01a5971b69e60068639d82,60
5,5b01a5931b69e60068639d6f,60
20,5b01a58c9f5454005e2ee1c3,60
13,5b01a58ea22b9d0045147373,60
14,5b01a58d9f5454005e2ee1c9,60
21,5b01a59c9f5454005e2ee1fe,60
2,5b01a5a1a22b9d00451473cc,60
22,5b01a5a21b69e60068639da9,60
7,5b01a5a71b69e60068639db7,60
18,5b01a5a8a22b9d00451473e6,60
3,5b01a59ba22b9d00451473ae,60
6,5b01a5b01b69e60068639ddf,60
6,5b01a5b11b69e60068639de5,60
22,5b01a5b5d50eee004208428d,60
21,5b01a5aa1b69e60068639dc2,60
12,5b01a5c71b69e60068639e30,60
15,5b01a5ad9f5454005e2ee23c,60
21,5b01a5afa22b9d0045147403,60
14,5b01a5c8d50eee0042084387,60
20,5b01a5c9d50eee0042084398,60
23,5b01a5ed1b69e60068639eac,60
2,5b01a5cca22b9d004514746b,60
24,5b01a5cf1b69e60068639e4c,60
18,5b01a5d1a22b9d0045147485,60
17,5b01a5dba22b9d00451474a8,60
16,5b01a5e4d50eee00420844f1,60
3,5b01a5e89f5454005e2ee309,60
13,5b01a5e99f5454005e2ee311,60
25,5b01a600d50eee0042084665,60
16,5b01a5fda22b9d004514751f,60
19,5b01a5ffa22b9d004514752a,60
2,5b01a6039f5454005e2ee372,60
6,5b01a601d50eee004208467c,60
1,5b01a604a22b9d0045147545,60
20,5b01a6051b69e60068639f03,60
18,5b01a6061b69e60068639f12,60
15,5b01a609a22b9d0045147563,60
5,5b01a60a9f5454005e2ee39d,60
25,5b01a612d50eee0042084770,60
8,5b01a60b9f5454005e2ee3a7,60
13,5b01a60ca22b9d004514757a,60
26,5b01a60e1b69e60068639f3b,60
1,5b01a611d50eee004208475e,60
23,5b01a618d50eee00420847d9,60
23,5b01a6219f5454005e2ee407,60
12,5b01a6349f5454005e2ee44a,60
13,5b01a6159f5454005e2ee3d4,60
21,5b01a613a22b9d00451475aa,60
15,5b01a63f9f5454005e2ee468,60
2,5b01a6169f5454005e2ee3e1,60
5,5b01a6179f5454005e2ee3e6,60
15,5b01a63aa22b9d004514762d,60
2,5b01a6479f5454005e2ee48c,60
19,5b01a65d9f5454005e2ee4e1,60
19,5b01a65fd50eee0042084b59,60
21,5b01a648d50eee0042084a2e,60
26,5b01a6461b69e6006863a002,60
25,5b01a64d1b69e6006863a013,60
3,5b01a64fd50eee0042084a90,60
20,5b01a65a1b69e6006863a03a,60
25,5b01a644d50eee00420849f9,60
20,5b01a6601b69e6006863a063,60
2,5b01a66aa22b9d00451476ca,60
26,5b01a65b1b69e6006863a047,60
17,5b01a64ba22b9d004514765f,60
26,5b01a6739f5454005e2ee53b,60
22,5b01a6781b69e6006863a0b6,60
22,5b01a67ad50eee0042084cc8,60
22,5b01a66b9f5454005e2ee513,60
17,5b01a66f9f5454005e2ee527,60
19,5b01a671a22b9d00451476e2,60
26,5b01a674d50eee0042084c7b,60
25,5b01a6aea22b9d00451477b9,60
14,5b01a68b9f5454005e2ee59b,60
16,5b01a686d50eee0042084d7c,60
14,5b01a68cd50eee0042084dc7,60
12,5b01a6a01b69e6006863a155,60
16,5b01a6add50eee0042084f76,60
1,5b01a6b0a22b9d00451477c2,60
25,5b01a6b59f5454005e2ee632,60
18,5b01a6b11b69e6006863a18e,60
27,5b01a6b2a22b9d00451477d4,60
27,5b01a6b3a22b9d00451477dd,60
27,5b01a6b4a22b9d00451477e4,60
28,5b01a6b71b69e6006863a1b3,60
29,5b01a6b8a22b9d00451477f5,60
